id,name,location,linkedin_url,twitter_url
92359,Ethan Vera,,https://www.linkedin.com/in/ethanvera/,
92360,Nick Hansen,,https://www.linkedin.com/in/nick-hansen-177a8434/,
92361,Eddie Wang,,https://www.linkedin.com/in/eddieywang/,
92362,Ben Slinger,,https://www.linkedin.com/in/ben-slinger,ben_slinger
92363,Bradley Davis,,,
92364,Cole Raven,,https://www.linkedin.com/in/cole-raven-b320b531/,
92365,Ryan Stock,,,
92389,Bradley Vanderstarren,,https://www.linkedin.com/in/bradley-vanderstarren-14412422/,
92390,Joshua Jersey,,https://www.linkedin.com/in/joshua-jersey-962618a/,
92391,Stuart Frost,,https://www.linkedin.com/in/stuart-frost/,
92392,Bernd Strenitz,,https://www.linkedin.com/in/berndstrenitz/,
92393,Monika Kochhar,,https://www.linkedin.com/in/monikakochhar/,
92394,Matthew Davidson,,,
92395,Andrey Severin,,https://www.linkedin.com/in/andrey-severin/,
92396,Jerson Batista,,https://www.linkedin.com/in/jerson-batista,
92436,Eric Burton,,,
92437,Greg Berman,,,
92438,Bernardo Menezes,,,
92439,Rodrigo Menezes,,,
92440,Jim McGinley,,https://www.linkedin.com/in/jamesmcginley,
92443,Matt Branton,,,
68278,Dom Hofmann,,,dhof
92444,Toby Matejovsky,,https://www.linkedin.com/in/tobymatejovsky/,
92445,Demian Bellumio,,,Bellumio
92446,Jamil Ahmed Sukhera,,,
92447,Sabeen Ahmed,,https://www.linkedin.com/in/sabeen-ahmad-b52538163/,
92448,Josh Bobrowsky,,https://www.linkedin.com/in/josh-bobrowsky-45834212/,
92449,Stephen DeRosa,,https://www.linkedin.com/in/stephen-derosa-24521377/,
92450,Ja'Nese Jean,,,janesejean
92451,Nagesh Nagi,,,
92452,Langston Whitlock,,,
76437,Charles Paul,,https://www.linkedin.com/in/charles-paul-msf-896154b3/,
76438,Teris Pantazes,,https://www.linkedin.com/in/teris1/,
92453,Burak Yalcinkaya,,https://www.linkedin.com/in/burakyalcinkaya/,
92454,Serdar Serttop,,https://www.linkedin.com/in/serdar-serttop-a3ab6bb6/,
92455,Noyan Berker,,https://www.linkedin.com/in/noyan-berker-b46a72107/,
92456,Rodrigo DeGuzman,,https://www.linkedin.com/in/deguz,
92457,Jon Alain Guzik,,http://www.linkedin.com/in/jaguzik,
92459,Carolina Chaves,,https://www.linkedin.com/in/carochaves/,
92460,Aiden Livingston,,https://www.linkedin.com/in/aidenlivingston/,
92461,David Watson,,https://www.linkedin.com/in/david-watson-9707a7106/,
57254,Martin Traverso,,https://www.linkedin.com/in/traversomartin,
57255,Dain Sundstrom,,https://www.linkedin.com/in/dainsundstrom,
57256,David Phillips,,https://www.linkedin.com/in/electrum/,
92462,Michael Cheng,,https://www.linkedin.com/in/priorart/,
92463,Nezih Yigitbasi,,https://www.linkedin.com/in/nezihyigitbasi/,
92464,Steve Lehman,,,
92465,Thom Beers,,http://www.linkedin.com/in/kenradio,
92469,Ijaz Arif,,https://www.linkedin.com/in/ijaz-arif-12275/,
92472,David Biga,,https://www.linkedin.com/in/david-biga/,
92473,Gregg Lapointe,,,
92474,Timothy Cote,,,
92475,Semsi Burak Derkunt,,https://www.linkedin.com/in/semsi-burak-derkunt-phd-6371b135/,
92478,Liz Young,,https://www.linkedin.com/in/elizabethpaigeyoung,
92479,Ricardo Diaz de la Vega,,https://www.linkedin.com/in/rdiazdelavega/,
92480,Daniel Kohan,,https://www.linkedin.com/in/daniel-kohan-1b4b85b1/,
92481,Adeel Ahmad,,,
92482,Tawfik Sharkasi,,,
92483,Umar Bakhsh,,,
92484,Randal Erman,,https://www.linkedin.com/in/randalerman/,
92485,Brian Albright,,,
92486,Hanna Xu,,,
92487,Matthew Groves,,,
92488,Don Mathis,,https://www.linkedin.com/in/donmathis,
92489,Marvin Danig,,,
92490,Sonica Arora,,,
92491,Kate Moloney-Egnatios,,https://www.linkedin.com/in/kme/,
92493,Jed McCaleb,,,jedmccaleb
92494,Brit Yonge,,https://www.linkedin.com/in/byonge/,
92499,Daniel Gareau,,https://www.linkedin.com/in/drgareau/,
